"Year","NUTS2","NUTS0","GDP_MIO_EUR","TotPopNr","Area"
2013,"DEB2","DE",14575.1765893037,518289,4489.90920432874
2013,"DE12","DE",106435.923309788,2686573,6741.23287393259
2013,"DE24","DE",33922.3007063572,1058711,7247.05078710998
2013,"DEB3","DE",67184.6619576186,1995752,7052.99545185579
2013,"DEF0","DE",82071.6448032291,2806531,15062.0656250025
2013,"DE25","DE",65559.0312815338,1698515,7317.5092816671
2013,"DE91","DE",57459.1321897074,1574527,8078.1523065869
2013,"DE11","DE",179277.497477296,3947568,10664.6013481317
2013,"DE13","DE",73699.2936427851,2162340,9471.33534069007
2013,"DE92","DE",70561.049445005,2094931,9298.79427989597
2013,"DEC0","DE",32355.1967709384,994287,2595.67776533525
2013,"DE22","DE",40510.595358224,1181472,10362.4333280335
2013,"DE26","DE",46025.2270433905,1297727,7977.74620267623
2013,"DE30","DE",113891.019172553,3375222,832.395982639715
2013,"DE14","DE",67699.2936427851,1772630,9437.46150677023
2013,"DE27","DE",63123.1079717457,1792759,9835.00303805169
2013,"DE93","DE",42353.1786074672,1667332,15276.1521564281
2013,"DE21","DE",225184.661957619,4415649,17052.9796199813
2013,"DEA3","DE",78034.3087790111,2572390,7090.37154620825
2013,"DE94","DE",77059.5358224016,2442205,14468.069322659
2013,"DEA2","DE",164481.331987891,4315912,7529.72416260013
2013,"DEA1","DE",192737.638748739,5081061,5328.37377509059
2014,"DE50","DE",30003.003003003,657391,455.329492667883
2014,"DE40","DE",63730.7307307307,2449193,30985.6211798311
2014,"DE60","DE",104861.861861862,1746342,558.328742930618
2014,"DED4","DE",36814.8148148148,1468954,6788.53297520088
2014,"DED2","DE",42806.8068068068,1590927,7684.41570393648
2014,"DE71","DE",183728.728728729,3822479,7452.81954332157
2014,"DE27","DE",65217.2172172172,1806025,9835.00303805169
2014,"DE22","DE",42471.4714714715,1189153,10362.4333280335
2014,"DE72","DE",31459.4594594595,1023150,5140.16814589596
2014,"DE30","DE",117875.875875876,3421829,832.395982639715
2014,"DED5","DE",29105.1051051051,986504,3759.39594115679
2014,"DE73","DE",40075.0750750751,1199796,8548.09835207423
2014,"DE26","DE",46850.8508508508,1297992,7977.74620267623
2014,"DE21","DE",231635.635635636,4469342,17052.9796199813
2014,"DE23","DE",40839.8398398398,1077991,9548.20481079293
2014,"DEB2","DE",14830.8308308308,519136,4489.90920432874
2014,"DEC0","DE",33498.4984984985,990718,2595.67776533525
2014,"DEE0","DE",56291.2912912913,2244577,20857.4155701618
2014,"DE80","DE",39152.1521521521,1596505,23582.9547920544
2014,"DE14","DE",69123.1231231231,1781066,9437.46150677023
2014,"DE12","DE",108022.022022022,2702831,6741.23287393259
2014,"DE24","DE",34691.6916916917,1056365,7247.05078710998
2014,"DEB3","DE",68854.8548548548,2000852,7052.99545185579
2014,"DE13","DE",76540.5405405405,2174500,9471.33534069007
2014,"DEF0","DE",84178.1781781782,2815955,15062.0656250025
2014,"DE91","DE",59640.6406406406,1574936,8078.1523065869
2014,"DE11","DE",185347.347347347,3972881,10664.6013481317
2014,"DEG0","DE",56366.3663663664,2160840,16104.6675902456
2014,"DE25","DE",67438.4384384384,1707376,7317.5092816671
2014,"DE94","DE",78119.1191191191,2446345,14468.069322659
2014,"DEA4","DE",71196.1961961962,2024392,6599.07947396329
2014,"DEB1","DE",45955.9559559559,1474378,8166.17633365739
2014,"DE92","DE",72147.1471471471,2099079,9298.79427989597
2014,"DEA5","DE",114902.902902903,3551553,7938.42481803626
2014,"DEA3","DE",79687.6876876877,2574148,7090.37154620825
2014,"DE93","DE",43684.6846846847,1670199,15276.1521564281
2014,"DEA1","DE",198403.403403403,5088748,5328.37377509059
2014,"DEA2","DE",169856.856856857,4333015,7529.72416260013
2015,"DE23","DE",42150,1082761,9548.20481079293
2015,"DE25","DE",69857,1715195,7317.5092816671
2015,"DE22","DE",43714,1197558,10362.4333280335
2015,"DE26","DE",48003,1298849,7977.74620267623
2015,"DE30","DE",124261,3469849,832.395982639715
2015,"DE24","DE",36278,1055955,7247.05078710998
